family_id,log_abs_j,j_invariant,A_fit_R13_free,A_stderr_R13_free,delta_R13_free,residual_mean,residual_std,residual_at_max_n,alpha_fixedA,beta_fixedA,gamma_fixedA,n_points
34,6.1326663509770185,-459.6628133523834,7.9962923936236985,7.70534356584419e-05,-0.00370760637630152,2.5697962276656955e-13,0.001277222122123114,0.0022841973038794094,7.998189529788218,1.6756101370674457,-7.85653412755069,48
35,7.918371958811222,2746.294693956737,7.996293357358743,7.701346372752181e-05,-0.003706642641256863,4.275098793489936e-13,0.0012768839635657503,0.002283684770873151,7.998189771592197,1.6756395627989265,-5.435222152646333,48
36,9.212970620884917,-10025.337110481587,7.996294322952171,7.697375250186834e-05,-0.0037056770478294254,4.571158266723311e-13,0.001276545258926616,0.0022831598989796476,7.998190013242157,1.6756689760555434,-4.685767905582901,48
37,7.150289280075376,1273.4745819558239,7.996733368346319,6.893713933359481e-05,-0.003266631653681351,2.6290081223123707e-13,0.0011256385843430878,0.002008363761660803,7.998421075298761,1.7185466280623518,-10.93136348290279,48
38,7.455275175829778,1727.9596977329975,7.996733814244561,6.891215446734094e-05,-0.0032661857554385776,6.134352285395531e-13,0.0011254800464714063,0.002008345108379217,7.998421199130956,1.7185615772156133,-10.66888112802344,48
39,0.005097277229306232,-0.005110290448148517,7.996735237324893,6.88491470654678e-05,-0.0032647626751067804,3.860615530963211e-13,0.0011249793279952756,0.0020077223243788467,7.998421563554752,1.7186058518771041,-9.580619549377365,48
40,1.9938810975993408,-6.3439812308247605,7.996735712393028,6.882824396470328e-05,-0.0032642876069717275,5.175119592119396e-13,0.0011248122147630001,0.002007510028533943,7.998421684970656,1.7186206053435988,-9.063725612830464,48
41,6.4100856267624104,606.9457352578571,7.99675244372417,6.833406161521858e-05,-0.0032475562758298437,6.608047442568932e-13,0.0011190026214716244,0.0019978386587808927,7.998427401539393,1.7194063580093362,-11.102825059334037,48
42,6.5394310012059425,690.8927798544166,7.9967529924527065,6.832346245957975e-05,-0.0032470075472934568,3.256654205567126e-13,0.0011188138438081678,0.001997137359012413,7.9984275168529875,1.7194206172587108,-10.81599392312832,48
43,7.051857843525026,1154.002564760195,7.996753385189766,6.829104657861956e-05,-0.0032466148102336945,6.051455632890187e-13,0.0011186709632053276,0.0019974715858097625,7.998427645087746,1.7194359229401144,-10.486924099477388,48
44,0.1488197879442818,0.16046384078978296,7.996754400037241,6.825829011965257e-05,-0.0032455999627591936,3.588240815588506e-13,0.0011183177129489611,0.0019966173701959633,7.998427882557519,1.719464995590811,-9.657795572684138,48
45,2.118276883650209,-7.316794329484394,7.996754900131051,6.824088892248232e-05,-0.003245099868949275,4.985641529250037e-13,0.0011181432455361743,0.00199623891921874,7.998428001899536,1.719479581084832,-9.117824764856339,48
46,3.729745608967239,-40.668506721172065,7.996755350631969,6.821655068534612e-05,-0.0032446493680309274,4.3579954459952813e-13,0.0011179833710865683,0.001996189682131444,7.998428125349434,1.7194944992586367,-8.440088824614039,48
47,5.641376235438937,280.8503441140749,7.996772551212929,6.770070009412557e-05,-0.003227448787071374,5.779080917515481e-13,0.0011120085366026341,0.0019863434270064317,7.9984339637649455,1.7202950392338718,-10.557632233308924,48
48,5.621612091581263,275.3345008756567,7.996773110276355,6.769155071034624e-05,-0.0032268897236447103,5.281701002483411e-13,0.0011118167172773127,0.001985573499041493,7.998434078221537,1.7203092290608586,-10.154660299328,48
49,2.540247533709899,-11.68281000532198,7.996774044674724,6.764754602399911e-05,-0.003225955325276253,4.2869411724192713e-13,0.0011114871604774432,0.0019852532809636614,7.998434322353201,1.7203388411958511,-9.12150137404601,48
50,4.263833853838146,-70.08197964478148,7.9967745255776785,6.762746176160178e-05,-0.0032254744223214615,6.122509906466197e-13,0.001111318349416204,0.001985002205174169,7.998434443283909,1.7203535553339018,-8.420254842698572,48
51,5.009249390624219,-148.7922584673014,7.996775002554568,6.760682832403152e-05,-0.003224997445432365,5.802765675374152e-13,0.0011111506944763638,0.0019847771889089927,7.998434564539801,1.7203682958071438,-7.480145555667339,48
52,5.013044535142933,149.36182184000143,7.99679172779413,6.711188498452364e-05,-0.0032082722058701663,4.346153067065946e-13,0.0011053431784417537,0.001975143925392331,7.998440281514656,1.7211540793264506,-10.580391771232525,48
53,3.1143577277671444,21.518962403546215,7.9967927351060935,6.707808859572933e-05,-0.0032072648939065473,4.926429634603361e-13,0.0011049921717358733,0.001974339643084022,7.99844051960494,1.7211832021615803,-9.662504208950992,48
54,5.457386743734511,-233.48385660209308,7.996793687005268,6.703653637901984e-05,-0.0032063129947319524,4.594843024581982e-13,0.001104657484529324,0.001973903204770977,7.998440762285102,1.7212126967107633,-8.34968082320846,48
55,5.745312450138452,-311.7213223873974,7.996794173993374,6.70173058655108e-05,-0.0032058260066261113,5.329070518200751e-13,0.0011044868909077792,0.0019736117048978485,7.998440882710789,1.721227369932222,-7.383505300458412,48
56,6.0409597607857135,-419.29622520793345,7.996794655300895,6.699728009248424e-05,-0.0032053446991051615,5.494863823211441e-13,0.0011043179706575353,0.001973357915176166,7.998441003607006,1.7212420812595717,-5.873862239933418,48
57,4.045324969299518,56.12974843220645,7.996811373942669,6.650145853732975e-05,-0.0031886260573310565,4.381680203853951e-13,0.0010985125437291022,0.001963767288316376,7.998446721079161,1.7220279040350204,-10.10930020648186,48
58,2.6860597011989786,13.673742927083751,7.996811897009732,6.64872817728389e-05,-0.003188102990267616,2.4276876805136755e-13,0.0010983313287526554,0.0019632362682386884,7.998446838515539,1.7220423351482603,-9.591982828452425,48
59,7.56798454985739,-1934.2359767891683,7.996813332396667,6.642601337084292e-05,-0.003186667603332971,2.8184861851817306e-13,0.0010978271072610909,0.001962531491926711,7.99844720190848,1.7220865261178724,-7.229611173484905,48
60,6.962581208817796,-1055.3567184829494,7.996813814638611,6.640612024800836e-05,-0.003186185361388816,5.838292812162157e-13,0.0010976579207740043,0.0019622714708020794,7.9984473227262844,1.7221012310776818,-5.690954762964523,48
