n,a_n
113,13314349071174862425046898984753471388134242662530980520624181511013931500915078868168459120918669608132527250630977500393762364751134411470716.95054928588589866841660571753932120145593334803768201539376267170165211620543966570184046201406121104421398
114,651551379074845472617487868013320987236380317503720573739170046655149754415986059304672468206854997718283558672789702926675262258072781709162457.5193597536134287046997779225093492073565475590918208005893748369893946597935869679157631362956410908059159
115,32166435818138026010802713054723597165393332446168049329552043576813394085160647575610973533661894971131274864315697404636460217914284739989239082.65045366736376485516895283874870537854948844556270312539330965262120989930179743053255008207468277157377
116,1601951498142224499151058277784234393755893191306216516159198703900389536295547069562285610052744457722635098102404338523723274019362767179447177626.263606869659532825743120519377876451047685390248633876872167765655839783316488630057702371238921684738
117,80473911868004977852247367438245463081615302280184492246104067258888056376542435523722496603416458395599337018212150914934520362999631117281694758921.56675100706281489287406052821141413142812351736044782330299145399229785962598385120396522477051265573
118,4077443358058538480308737738838811528838813129797271638936701145977127463467546141025987904245904885000391130070182179600933724795701205687272125520248.406821872332039211551760898352793689448955969724854528160982218022237415462446182110155959321877347
119,208360853211357552972776046919990077302558212740097798048372555334112389897887724043206589102878229947540585707674324854547257278767013900847797592506422.9359275764271656450059522832079080029211201773387727532794879613883173035237224853387048576974543
120,10737631914547421961337434246015678604285469381714510876411324734626587382225772127783975432194586452683364673777278975739356561351829977782658938940169681.66154569373034483713036554668479928691066716477241902799064040549394783314119789443988377515456
121,558000311753248216258812022008833465255845533883751580305211550246740491568706031287419020177540899301553729339535115800075089168062225645129355615814190357.0447121484262886738285500747853336980584117524066162242341961675336411191294437377024316744128
122,29239084665366424387328233672716144984203676763731172600520912664134525085738225882430543643717592770784374749803231940723664847719299139006066344918453223869.63264878317034148286446208493765278313755240884236847655755720223793310632529689955392293523
123,1544780788600155250181287611281197202874687240797334575810262155714239016505751097767580280350141678268391923272483635479767947359118722471696651392574326158256.853672301634556922877611413280976136104686217982097935198432499177553572724786434465486469
124,82283837884010794375682183762370009468741958306770064982722463807954412196371480917596385887784466199611087848562683346130198964829175523830540081705154031544527.91646073990518185240678399930370401033343260831605534349660295742654360359242082997306261
125,4418533200210017523034963186594605577863354972689716811486118637015118786700336410043236740684081097913515292446509470902315515817952453760294027735223389693704575.615249901362000785139532581103117755277933467853388539545167551696285937990762242681266
126,239182487361929236549651175967177498214387298763611299861243023802988540767716989809321801655057079708421825466670877041083571778571228361971346713902732519381765965.8259302705907088431726300861186727491433412268269430079613360151699250888760012403717
127,13050901920058981818444190445507842732185031562912320035303727848536793648727768621989986746211128487680639680139928785221603759745253729815694073881773052224537253552.69903197328414015291223814145914351589228390808671989082223945511483458073126282085
128,717768219035568387237029200221644695211809916499249498971388855230502153241452052147292239414786716373052611099532210580571038342209757142914605759582641054772378191015.3638019686054638500953916230379576327636264905191819995917162931962514134552775798
129,39786300880046980397155488437489134790535011532354989765668097810902654559689194482982681713533845801338026465488085388333206670149122599426634318752681658848978117649201.45785024541248614643488384235378667388726830807250540704613391652298459235121897
130,2222603760946603638029693417175013086882149234846548662629376893317684352515772876832892361069840720393689895855192634494039132580420321745268257973493046301105586597457558.936947061420777641338941316998885277528820389592442396841259508478150717650817
131,125124854884686592899328796393229685710315196360949320444431728688313584150375737218310082620406312690128258615843816300593208227212535366788343312751377655798104859186917750.6673482408798973910663440515955800938033594029449810181724033262576706873143
132,7098269806450325283152849978328879331268328958561189526491682429171153832126520945878141470775155592040875930440205836563625506819263349241390927586543623131572609387963382309.58303651190093662574396123526459054887850571815285351724512723590934642841
133,405754643195393011031854244096294613565557003570268918349811015008750849194266209101867714999427960712031607411785175926432139789734023387602037364718692370072879678931707616135.6032339588925791705532189608959107853500945677129534472331812705788636323
134,23369620483459818261951857799175963459628710975835265167433853071679488351349376436421424278247017417210026242482921252860895078599460658993409073153653757093989594721862510563993.31665119414626995286730637810148443410760231412192498344615794197073991
135,1356102281363666911658201134102662532230260776105133931355457549590404598358650930997705916959355249008370398395418730582474827298420976244168481506966621245060281390001689030201543.752322573003780114894651159441150801931628053815746185072995827615727
136,79279642602335473017856875294960748322796694500511539702989050423681283855059376235778753322459220193002505084422770459750796312137086688999989942285483068628230070155603222915041755.85777191426189447576187965857661944629164067710202866761276799206843
137,4669125549744617722549855991368317652078336544171704736657715835597338907228845545704495702474368394682998685814067350220289545928180423314741267147243396783183832398321909224972731826.902390508388004546542087580262466012081437461456486610651939798121
138,277006896454708409271910046873547876683889378814515115831264348077694580181530311250670890694693501567186097745996152860424350233257318828694241821748102693965127770464932083148058941059.8686829417460817102346443248189817944197197667029691470367255706
139,16554026401878804464340811238230213824970951233842353683073849126534449636358244671805245960732815532229343408385560020862825820412593664479543138781620318049143996904050402092207932529134.63750226555210781828790691084230601504694892223714965003192685
140,996441812350119301682280487825459559864955557358147195907048726744308807926523024930672884812362018967751080495170226121718604639862504070740701741990925191916239927908219343432570747484038.7759950317320211628810861866178576835656047817397746770063214
141,60410580861322992128159583250836612941519833548748569709881673531347528224260629460218462770705465425184423814916166413081074640398746437614806864518737017226617198256179528823452304221386903.93053059544890901279937340699495044936406054661812747639811
142,3688626659589370989967274994358345660728751660565899484870962458997905076625855354997976946471749125527989148304551496095631275512515762772948313462621486645452947075493107364422772399477693858.313660950633585526902902447747355629349126385923198668262
143,226821999693253264262140616783571047127190528697553150588333508087910760154329996293572189245478152514478645130281617044677251049934137284790516882951654272125328456583224694350957668464851424132.2130411443238923857507146111803375404641299534712303939
144,14046007779619745241849637005497655075648383690439018702923377419508549650843100830768511196088534612769000772973169230041980383255078101253555836813940936775264844107750569043908308848987490307159.20431502555778797363630338763437760105358304305758236
145,875884136048594800948072366834494242507949874556504382944724963936047194974789274693395492190999407251881338262292396434499023310001559622509365325126237324583372891313254997305188790477454524233381.96875906070081518798808963869990481809556489238867
146,54997823999350391459508067826547431786761466618570977359982697802492324867001298341305527764675156591722672263863372792123991173408626956346007155339477589675905439244858832595137812690208135657110057.76053788542226837807565243539011454916837060738811
147,3477192992491666219111923996464227005334894190929907671693720265847638037336507706944032247108221347600902323437024177445903277343424734523724262465902650026090987099692827902799663327526989420598451227.274286032275434152396855022664933702888451172637
148,221348284681316697920258184880007129788941683942567406680155899325293653491218418653440358735978067436434329904648572470895372454058768533991546883125470342957688912653799574827275125261264671907928466164.4456839120340901981138516912622357779243572105
149,14186246827198975167402021603904261496591914313185206715733471416235358052773925120920155955845091903593522099176111280893719576863692349715761937861674827053668537639792144515720505442802243744139446460826.02254386898658102988967231989130072261243216
150,915341239259155233225925307332578576608532833476027550819846078423040476557535327011981834001998149326487534263861735355834170213512073482685680012632208651887404526764961349110674999111331546906520792950266.4533663561906137743268123973533323910776633
151,59457022703397622582862406876754521920171718240779425405422905561554359578628847270606681142549147697122935910615450304570014840010069106368181334461332293890454263656567270324557099524248884607357693177108681.20770161142488879741359782736251993877209
152,3887841970917771433796563376088482923297257935633008667292160812414590467493573730307803237727704362756291259812952518074256702757951764084207859854541070293239488582981567052767932306905722942690554779519693459.998930797018376988635505734097404225025
153,255905915931216874865677698496236244003842507823595774270101359230365508311332009064290920482665433607604410325401640085199060507986258057643658194380329859933572209567242396430041497048842357768617356863041679320.4682073187964530393279304398407509541
154,16955067908009246246170478450803103939414098644821154771314767354533122109345813813178217662911352317675558408007601039725446274298076012460327488005812812239432174558460807812282678351387556096630288646215836396395.04993019430295917892107883153438372
155,1130700751946512721553049855664194607530563093907945526158521946072444736977194932402553919537228114852402993649362544311878813005330852347280168232008402636925354269433377586589091756591362487109065836270811911903333.509630316584166206274533266106071
156,75893828616361445168911144432591369364708662267816547021186636166293044561373083633500555607923497211537896577597152309925955069444597030294942556534619676429504285474352829001522893730593536544405309798445413656355920.80389894994253576193388773449199
157,5126934944212452448066878668126625326053408106342658968023346052470703104522669337769114444798720239036074259318607101033167015783971785331701274181438266874339069564852476446945406339008384669341211321325137902970816702.259562190882268777831570302922
158,348565078607372176865412846540070344415194019664079597759909985030153235249716220949040169827803621862048526925360152249364494022688503543061028716802671167257481287238168511232893380942803892982886964165691678712958497392.0251541270351084001988487958
