family_id,alpha_3,alpha_2,alpha_1,alpha_0,j_invariant,log_abs_j,tau_re,tau_im,branch,newton_iters,newton_residual,j_csv_vs_recomputed_relerr,abs_E4,log_abs_E4,abs_E6,log_abs_E6,abs_Delta,log_abs_Delta_petersson_w6,log_abs_Delta_petersson_w12,log_eta_norm,log_imtau,log_abs_E4_cube,log_abs_j_minus_1728,delta_R11_free,A_stderr_R11,delta_R13_free,A_stderr_R13,alpha_fixedA_R13,beta_fixedA_R13,gamma_fixedA_R13
21,1,-3,1,-2,-262.06635071090045,5.572406284431354,0.5,1.0617773576498883,vertical_half,8,1.8225774610624903e-157,3.559579619623542e-16,0.6994452708921153,-0.35746772826331746,1.611976680639761,0.47746117787543485,0.0013057196901993472,-6.2813353648146935,-12.562670729629387,-0.2467362427563239,0.05994425644381994,-1.0724031847899524,7.595923259228483,-0.010876077749157886,0.0006927443857482984,-0.000977820356774295,2.106744435122993e-05,5.999531736926168,-0.09653701922247326,-4.301759959820336
22,1,-3,1,-1,-727.578947368421,6.591095989521294,0.5,1.1454938233369898,vertical_half,7,4.66422076821647e-137,2.0392249388738076e-16,0.8215514885238395,-0.1965606672377983,1.3680093600319216,0.3133566613055492,0.000762121540071245,-6.364389528874803,-12.728779057749605,-0.23122393933995058,0.1358358307859981,-0.5896820017133949,7.8061178362018895,-0.00956699330527222,0.0008529543601082243,-0.0009641064011782774,2.0634990613011104e-05,5.999536194342281,-0.09583448243809967,-4.781861043441713
23,1,-3,1,3,-727.578947368421,6.591095989521294,0.5,1.1454938233369898,vertical_half,7,4.66422076821647e-137,2.0392249388738076e-16,0.8215514885238395,-0.1965606672377983,1.3680093600319216,0.3133566613055492,0.000762121540071245,-6.364389528874803,-12.728779057749605,-0.23122393933995058,0.1358358307859981,-0.5896820017133949,7.8061178362018895,-0.017304839336530264,0.004318673298951088,-0.0009070109210851385,1.919459028652936e-05,5.999553802130157,-0.09304476595409716,-6.474311112313265
24,1,-3,2,-3,-28.92050209205021,3.3985439341168853,0.5,0.956137181642793,vertical_half,10,2.2010314131494418e-179,2.534023460042829e-15,0.42256819443083266,-0.8614044382727246,2.141008294450673,0.7612768837012432,0.002609063137147235,-6.217887358068371,-12.435774716136741,-0.27029211011525794,-0.04485388078296984,-2.584213314818174,7.471317840773039,-0.0039504127286651425,0.00020025814384551832,-0.0005605334254470407,1.2362066163370953e-05,5.999733893132199,-0.05456720137059223,-6.901929487884884
25,1,-3,2,-2,-66.46153846153847,4.211557634910647,0.5,0.9866217308927149,vertical_half,9,3.3240621908779014e-156,4.594777736119143e-16,0.5213670114078861,-0.6513010487442237,1.956127708031259,0.670966859885829,0.0021323586647659094,-6.231337943875563,-12.462675887751127,-0.26300622209066404,-0.013468564383395583,-1.953903146232671,7.492460277346848,-0.011632227173955734,0.0026249526901271376,-0.0005454260795056953,1.2124048371819606e-05,5.9997382107955906,-0.053877582792084544,-6.25655937208691
26,1,-3,2,-1,-300.5217391304348,5.708842116819782,0.5,1.071456815841479,vertical_half,8,2.5220106839884504e-164,8.031323892161621e-16,0.7169886423517321,-0.33269527902160223,1.5773217817146892,0.4557283339098162,0.0012264813115279243,-6.289490536070299,-12.578981072140598,-0.24480729752171046,0.06901923259154147,-0.9980858370648067,7.61506259943918,-0.003953407857238744,0.001010365658973675,-0.0005337677144661157,1.141869190465207e-05,5.999742869601351,-0.05315656460230744,-5.034774535706265
27,1,-3,2,1,-300.5217391304348,5.708842116819782,0.5,1.071456815841479,vertical_half,8,2.5220106839884504e-164,8.031323892161621e-16,0.7169886423517321,-0.33269527902160223,1.5773217817146892,0.4557283339098162,0.0012264813115279243,-6.289490536070299,-12.578981072140598,-0.24480729752171046,0.06901923259154147,-0.9980858370648067,7.61506259943918,-0.017737737572876,0.0064062958758637645,-0.0005077658183880729,1.0403452959753353e-05,5.999751921496357,-0.05173898848626601,-6.375274755334468
28,1,-3,2,2,-66.46153846153847,4.211557634910647,0.5,0.9866217308927149,vertical_half,9,3.3240621908779014e-156,4.594777736119143e-16,0.5213670114078861,-0.6513010487442237,1.956127708031259,0.670966859885829,0.0021323586647659094,-6.231337943875563,-12.462675887751127,-0.26300622209066404,-0.013468564383395583,-1.953903146232671,7.492460277346848,-0.0043121193436279626,0.0002312317862307237,-0.0004947447195311483,9.911232202720262e-06,5.9997564454013705,-0.051030389635394524,-8.590660860502759
29,1,-3,2,3,-28.92050209205021,3.3985439341168853,0.5,0.956137181642793,vertical_half,10,2.2010314131494418e-179,2.534023460042829e-15,0.42256819443083266,-0.8614044382727246,2.141008294450673,0.7612768837012432,0.002609063137147235,-6.217887358068371,-12.435774716136741,-0.27029211011525794,-0.04485388078296984,-2.584213314818174,7.471317840773039,-0.003792111991399949,0.00018444761702308157,-0.0005624381486573071,3.5927996381096306e-05,5.999768953602057,-0.049586877887646263,-10.330745958291887
30,1,-3,3,-3,0.0,0.0,0.5,0.8660254037844386,rho,0,0.0,3.0116454574113063e-44,5.250128270847459e-16,-35.183108979057295,2.881541100790946,1.0583252554718265,0.004805138377052951,-6.2011156557756895,-12.402231311551379,-0.29434007804712636,-0.14384103622589045,-105.54932693717188,7.454719949364001,-0.001143756743641866,6.462063329481264e-05,-0.00012916113721495037,3.4387395399658113e-06,5.999940356731601,-0.011912655247448889,-6.655235624529934
