n,a_n_real,a_n_imag
106,-8.9814576803169052881941502484479399812914442049047618645467e+120,0.0
107,3.3660079156141222039048140003993403451952085436699028850303e+122,0.0
108,-1.27338914280202565404259994192312306761323000387285782482164e+124,0.0
109,4.86235798499961985986880144134758965040732826881610322160706e+125,0.0
110,-1.87385191618094529867379425988182300183207640765743565438687e+127,0.0
111,7.28768521979210383961336996279034934572822642687056879434421e+128,0.0
112,-2.86005285232008909519676611555432307350039117131244131797126e+130,0.0
113,1.13253956504779811567124846653351160363355942680105462459964e+132,0.0
114,-4.52473304487225497745603277017679772832745515740149865635104e+133,0.0
115,1.82372262823584936143204166379722242559518427741025314401132e+135,0.0
116,-7.41510740418156435075187319484787474722419920714020619023351e+136,0.0
117,3.04113783366817626250502079169341292401104421006440007497755e+138,0.0
118,-1.25800535582127504553002587504236019761417042274188607948844e+140,0.0
119,5.24837528474645580839913383302065120541058525417502188966199e+141,0.0
120,-2.20816789944425506741491393110109297525137779630907485852728e+143,0.0
121,9.36857324689436727257185487804131465650876751646641124669098e+144,0.0
122,-4.00791792085145413915026329583778580982668586184533789334595e+146,0.0
123,1.72877518229375874740053244676552271056818511736416043788674e+148,0.0
124,-7.51801836400634326831917155406286516590136287133250878889075e+149,0.0
125,3.2959810366242900514299683069732374171454811594557212003104e+151,0.0
126,-1.45664674745958827186483532249685651261610436728271093896275e+153,0.0
127,6.48909612200647900477533530588136542883461900736735454329545e+154,0.0
128,-2.91371616322975182588050662484220258187144336288890862134166e+156,0.0
129,1.31861018790794924470802064480475406459107829133103977673117e+158,0.0
130,-6.01402534048555477299655961264792943535912549599774303017652e+159,0.0
131,2.76418832233289609032881685379179207437235638285510292566083e+161,0.0
132,-1.2802590477893516698805589117629054120036166114945366837849e+163,0.0
133,5.97489979564341414897153892611127969833534320074172921207898e+164,0.0
134,-2.80957753766053376196197096683017997363743142932824415219844e+166,0.0
135,1.33108102260821428211148849104524413155842004027841948481248e+168,0.0
136,-6.35326323980516934486334906551804202342633133762415843183724e+169,0.0
137,3.05488080520104313741035125090588698473737078465852465165202e+171,0.0
138,-1.47969862901101958392658367610036999829798415494764221203631e+173,0.0
139,7.21955980033890706060438045693251366558811196800399810648461e+174,0.0
140,-3.54800159445061803000711047485601721636057991910358990205337e+176,0.0
141,1.75618417692300503177142427422735627237501334753482062184179e+178,0.0
142,-8.7548220332695388138757507494085357868949775329027537791431e+179,0.0
143,4.39535290041317984387436688255164850660480158758404323483008e+181,0.0
144,-2.22222386145270278180178788127976652076228556478697207702515e+183,0.0
145,1.13137936928004197702397336494868911339655414401156679291394e+185,0.0
146,-5.80008225825501900909438024321672491483507093348855092888823e+186,0.0
147,2.99395208038456054193637212122993536045927083134061924348324e+188,0.0
148,-1.55603713910385854994233922646434950729502380388700265949121e+190,0.0
149,8.14215557657903768878191428783684477258127167887841846786747e+191,0.0
150,-4.28926948560967489444008585139763526088334284153863714581477e+193,0.0
151,2.27474231709605821081906284355414080820602714839346321641771e+195,0.0
152,-1.21441386631904189494752047073773785858413291305276595290642e+197,0.0
153,6.52631179244208735423720720593995353471053338141844373691242e+198,0.0
154,-3.53034145869525905987068541705857079037710379346246525306272e+200,0.0
155,1.92218352140863410786704720195056931880258501519421812348157e+202,0.0
156,-1.05337720856122405395704923422394023044325631442396944350125e+204,0.0
157,5.80986231028651894399218832394826854670539992211405916726906e+205,0.0
158,-3.22494841657160489723023765642218935272170250786815229528341e+207,0.0
159,1.80151173854527271714529218818937476555709227539345028271893e+209,0.0
160,-1.0127247306561206287880448409410844286683549867921579924275e+211,0.0
161,5.72886452377225503711496184057754944112852124220569302061608e+212,0.0
162,-3.26100558226708956763315453247338867190850519414190796810389e+214,0.0
163,1.86777101652079652656141417800724010962955929516205052731398e+216,0.0
164,-1.07638657720938184617811066382369637432751476321020350632449e+218,0.0
165,6.24121468163493644426330463431399425673224894569501212410645e+219,0.0
166,-3.6409107193779873851101632451061571644723098723477464056349e+221,0.0
167,2.13685496426471504002492894247650248579194078290118771320208e+223,0.0
168,-1.26167765440826741733536758623365488634411136483807734801935e+225,0.0
169,7.49401492171624732723832034268918117789244432521474757060626e+226,0.0
170,-4.47773188631812127801748142322129248889035495364891173755984e+228,0.0
171,2.69131048047672926319336115917302615711972835503003399423316e+230,0.0
172,-1.627109112123106930000483535900288371254620328393707187979e+232,0.0
173,9.89468237644685391569711750535333620705603927964392976155661e+233,0.0
174,-6.05208006149389169481729492182704350239908267759624061154179e+235,0.0
