n,a_n_real,a_n_imag
59,6665242357307474745432298726171223867022307331498817095339.15178718464561491354291451127058486774478102111856613757828867163650600447232519773188235935409874285227239251855340556088554094609445578690221273194846898147677157240127669832607780476123325576400343463498782057896316696098778120016697557255049822355260649750972062743354926559839357761454773791832173958791984584573663387334536115206425972837102882773399498726923254085033470529756981079252,0
60,170352862079842902727067688992045328110584497948198485937525.517200886317610081167054261182610283226055421809754186056437647069762201295569999285536123653839917430943283622815398718096400682744162277161727365249911205813545418974088615962006662467126551683594019801753147923023886103752604167543815869322283489178211973018552464528307097128345029622349108209584831171617400492604368600778728630301320424922080025420346383247638466503800400739976591231,0
61,4427679997533338681562127107027146594849528694459337978957211.11553398807587469343793945794350589411830906310509042201710954239529013600409796816273315194812677075598169675010906546570530013852187029229010833170729122085681351806289808377007080216623126218820041194991267226317975343196487314381889437782255241562067951979110918376037102297113216934403112036750985914463557070883602343764686890971912897235470380828993830421175445040654604511462535889,0
62,116997330377099723549454841762907670019028403997293342850845870.537930400907947599057816048982962900887886440346248022075935171417583132009950449634495060727757502290290552789657973828582336736977487100000081396503968528049027171886083164533635535130565573820453639121626992097245452286761078368179086593909888421844440255377496555880620590056493349226740214765921637532165281206057956394920067259909497531850461483685397836681668109171796124613573123,0
63,3142187914589488791063580303723273189344639605946018922522454881.45808457161859922511462401942309637262282566058481888581859241542871575220133771571199127948292919684994163738759367469816482822313373873245585887364183060685517054997685999720965450588932268051722995561647555817884047207576856510239305775624401032271670563275109032338738578700375930751930055966886587159636301097973815157199750100564894791777458314610755767937335419330693318256941913,0
64,85749597195493818052283853073653191657953220119898635643358457567.0277824202359537815651311043052661886676230457170722346540044029333108611982584601525907648952619389929272580814871888041500171029321492068644895436018884578361714641440459907745901588343672986670158068447674026790083412178884646620120062072054486650854953811646904141049409092053482645737636747996743691017364272016224431435894626267806414340325228381633353222840890511976942793574196,0
65,2377204578034533160620943510602066104224572771495491458125419240707.97613969128572608248020613481284497711163750363281668547194883757837572592295548988512471895288030307511733239229116677775408489110030109797236135982704356438107345713899731050402329667459222613304400609019665904104733521103178687539967690002815250550014440729278695452722392827300215840717830928813062282160123084529187130673387350710964248691181604218221330296822388853539708790323,0
66,66931374318722694349976727716663775544237960283817395929880135200399.4908362435105960720839429827067817808138132423996197211217579281171501236234278979299001678440755439045673669492198678337405469007323532341873976726115086789832881661774423143197853639469759383202253457963334625245796939536899544407143592866121099313099911003477166379055914049291686402886154560282381465664528962582137583253022496907983591385356064035206863985031751220707983350851,0
67,1913458502399228597210236782270975716301559001201047379541607400615492.03482300290357927061886210476456005914286912496262048476821219618214185283041859988700489609520814024364202235136074920564715521925320628012662946662355113889293372230422726992574318561336823801545431732135365791473027775780139951833184617184010462055484830838601346158880513659393461339819925697142538586446118956821272227935239991188187097801181927402666345515039009093963613092,0
68,55530931619074289028807023992205368350903541592095165501002655830548889.7582335596944901017023446884557853870165313139924689911519829015426135401180700734919234852024261415232581390038746790984016148381249548034288690275057996002538490411645992836527575601111264711975977625977331601360181159904186154079475239095104139054294179363702227066342086861063125082963335904090237747674633017161913391233562310009048339575024511978515038011575877824066870066,0
69,1635614324505685710979030059083953206113682907481476630451711355916808169.58072307871076746474833700372124333802559371970355544761417948725527561868482365429582590242519294963484275471184533419984787444072676979713375906051740692258408410027353117034951508502092828261194617998830508214443285922237842897211923261360048534167472757975307807193939871566550275406024661690191090962798356896198420392144202287616432328456861555571959722293815790059503102,0
70,48883594018781631959519669956004680757248214683842532743201178656860521040.2200290106463087351664953350303924298152188274507181426546138710895268671149074360761592922796375400613541119339386898987744967073840740415992017249346136399808495339596430841020150913154109573007030984570269379365854373625617235928172440218504582409857208379543706876070720510993682879465885625357106335218091315273100257962588897777441709337388124610873956181554925133774926,0
71,1482144563603913546745412406108211665915827303252273752688709267755663859711.16402574547533819040790005651436711170907486162608435567769224699968229915549142202752103111666126354215290241684760710846678216816926744167249637550568160667029085798097235582130736675833272473002152818863282008407071280081770278727360597781210972656443547216753820158783597949500017640618644166662578745820294650017362023147017760518471446783228294872419948715591768438315,0
72,45580043051460373916559593288808147556169618812966623856816692798941478620494.7281486312870025262656848261686284277752599958898549802476618122702224636589352385118164315936293038414934794630142803271102221134260001781029824591497682723669750946467539573743317824189104449698047164673919281217362253974032061031089166974189590131465940466872027286760767298417621386590470709381779284621872636792222571142456658676748812665913937404103656124962957805531,0
73,1421443532617843766120260397553280234137493901649237604247292189841794006350449.14102138053721586780797202756034300057722140138538565494270480484641726976612724252295836102691489114722461837923221945863971254229903056929162158932584455714100676640451018057630625430935684232300274724520404283299154718260974324675670910898985283134610099926096953546975643223632521214748882493477968070761119857903291652958432326611992284480151838162519750824304271161,0
74,44943983572475116649869155360533254117921904805410800955658991013525645136251882.8862344705095443346267601683746072521915403359827086749453408536767138238780593013057442165285966839497027715048070281967265312532154595718588754323897759796807977524201006314650719121080640304040664930998768606795903892841473899486820905945288805765099258760277351135215394931684128453774085788622898487670729606536753126948092853803569323747392730390363184106679197363,0
75,1440519735574075017354996651511575968400679048030496219487193302874930435094471415.81461693125124546874864032646237319973623346146243090976261212722936145946534853722128902613257745404706473221073270540910133043775349072240231754117071011949415271736834319885183013805101394748391529188356545626923003258535910239384758314749484002577934156455774820222357998673434795866865826196350067459563363391614140831114593631697610286410341284167776967393787256,0
76,46794344645480299772017152759077754656839959019103768318898395673296954830978602320.6503866936951823393636354362887889642839034909443146166656415105516700976133197456615043203535773721539296766204934442660815208933658038718043458813421362285875654547123761401706902762290041749150394197175795423831022146851474355808928069976445385413804012028529844009317270121527546090158468073139613369218795958551982493177693915827369935638426027538311722071416032,0
77,1540341218410638489526703955638990759210193772779783847537735707402599049508450656401.74179961306846712923269127479624331647805943291892392899829422846782301844204266234562833890827926172519390219760284684672015472521806743054780586984761848410809407684882369941613497140014219598567989803266501119274466108494977834751997414234783107098538678615262318510614166529369805024839918845144370947908550087677178712953811799652181270413069536303117173863768,0
78,51370622897755291920121553803350518616720703977827149535268567879388196815320609643381.5013671185243183256689239739399217465500592714493575182796307063265035547064539244814750960344838700473848968458291279106127384629292172786109250838381719676082249623951546172725253735322511647808092133418801876701014089396405336937121316282357375210392551817006578320247134833796463350843990139410338435878310000201544758828236596921870599511149220264472968525048,0
79,1735457190569705017881522147771335409054198660061888658649114799031412432999626762184402.91811044955205479602747820677696310914180711332931156534691683097400445573833582710238365410521425675841837567878242871217306948751934254941988317517352076525161222753941247465252743775155422684037245826463660855822053965485762243685393454914682119623963419951895216504163190425290598906430663043915091035804796750461897394379540648937414748886531662970345277212,0
80,59380365905459138308999084682899641551297059563825345466964704706859073804856287396099688.6582232599539651466965418007123544043402541819723504018932085331225881593609840639707465398217504755672555118738045515536105645000222762070202676103588519225597412724889811441782861942836373450383399327950878254926235072272978212073435830477900260422157141302143386074043229586304532064670921933220798656949984524274600520292928622069529305579790734512920818437,0
81,2057463919381846919548595375028540300221175614961198645795966018286135832471099098902103018.40607630830450631262340118222860701868620298347329787440364443753762538789516464654254126934544011413735541715181937101852973187288991050072221178778103703722337605377280234958277673412220950253606394752975980646346409427760544810061178168856630324597929115782923908271728443635427288978012738252359339334341942823639212245205856693667884319683230932615771185,0
82,72179556391717692814238272502906753797619871948873923446023142705772637924005099462648323557.7832320797182070540899043757727469446899785731622459144769220031477786678141693442562414038498095670433088104275009960965398950939309566823123817102655330865822964868747456929473425928202604327364375129151569107438439159202462701361316554581673302545872064549362514408435036632649081153977350493839296403808340955963457263801116906598770787521822174628618625,0
83,2563437304562077510857409538641550592996714091609150348083155135876988045684857081331627539751.07843197745314182601807770990554246610288829233520614782000175674109944742578175832710465220084011668309099054571422890764049238983434054938780565471492354731099628109330665105805593754324170783300377029438419096927302531628211384060614352355444935181874345428776063235761842168352992323778008328667816182113328007223997460917961582357027949037826579152241,0
84,92149544333002517870706574977163743936956721027105504418283666093442069772731086014432145110169.4109183270141026006581976639793099367834284982599987553814891417167908190546083693286176722499521734592237304141027068155976655139152785967599060624390618894928323430853347296250508044497383436910227277320446981341268594623066675196371717889536710699647863201602065250088937562500903595883891829950858358634187561757316632135535310470533193650311045758788,0
85,3352453148271128992737959544893159664484738678060044545069839148471900864869108139942826390064684.88945357674369698384482624405175293672731381865285167328066376112194914776445777368013151472783253792707833519108869427909313184114962773300319021349898666105042473475594289757241105631069513239806820044012303725967469499231901927885956078952218739564969016234667783456761676220269016401851136254713059837308477604620415243643203857162128419876064003891,0
86,123415525523455111592479455767784310548726977925019963090576223485073568244517410288784012146095895.192622555652283692451193982651555426391399137953890847730551039760852219759146069635669632837146016640055364269808351981085558007893975765199012076540139688581005138044658877605238052740042354325230406089626663099452087532442628694054036678993327926612106557730643777188294372527303306415795843278771544462919379251693745083138477412350291353516589873,0
87,4596787090511737130355228129110917066165065294080385257498476890027135384325062760970434496516985024.79468128209674112011979253091463325369171955983667526051546617261755941013763152064561364325873744280988641314539663117960482812791617405679796167941628321589681098551524538865308810468230912078454130810181149924253309387528436995383724919143124068878226868867760691332665812334939785835666095281733678193008574097171495350055399153528711023732225247,0
