idx,label,source,deg_a,deg_b,a_str,b_str,a_top,b_top,R_struct,disc_a,disc_a_neg,disc_a_psq,BT_disc,lam_ratio,int_resonance,stokes_idx,conv_slope,r_final_log10,finite_termination
169,T0,F24_Rat_finite_termination,2,2,"-1,4,-3","-3,-2,-4",-1,-3,-0.1111111111111111,4,0,1,5,0.14589803375031543,0,1,0.0,-1000000000.0,1
170,T0,F24_Rat_finite_termination,2,2,"2,-4,2","2,1,-3",2,2,0.5,0,0,1,12,3.7320508075688776,0,1,0.0,-1000000000.0,1
171,T1,irr_482,0,2,1,"6,0,2",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
172,T1,irr_482,0,2,1,"6,-1,2",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
173,T0,F24_Rat_finite_termination,2,2,"0,1,-2","-2,2,3",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
174,T1,irr_482,0,2,1,"2,6,2",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
175,T0,F24_Rat_finite_termination,2,2,"2,-3,-2","-2,1,3",2,-2,0.5,25,0,1,12,0.2679491924311227,0,1,0.0,-1000000000.0,1
176,T0,F24_Rat_finite_termination,2,2,"-2,2,0","-3,3,-4",-2,-3,-0.2222222222222222,4,0,1,1,0.5,0,0,0.0,-1000000000.0,1
177,T1,irr_482,0,2,1,"2,6,4",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
178,T0,F24_Rat_finite_termination,2,2,"-2,-1,3","4,3,-1",-2,4,-0.125,25,0,1,8,5.828427124746191,0,1,0.0,-1000000000.0,1
179,T0,F24_Rat_finite_termination,2,2,"-4,1,3","-2,-4,1",-4,-2,-1.0,49,0,1,-12,1.0,0,-1,0.0,-1000000000.0,1
180,T0,F24_Rat_finite_termination,2,2,"-2,-1,3","2,4,-4",-2,2,-0.5,25,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
181,T0,F24_Rat_finite_termination,2,2,"1,-4,0","3,0,-1",1,3,0.1111111111111111,16,0,1,13,10.908326913195987,0,1,0.0,-1000000000.0,1
182,T0,F24_Rat_finite_termination,2,2,"0,-1,1","-2,2,-2",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
183,T0,F24_Rat_finite_termination,2,2,"3,-2,-1","-4,-4,-3",3,-4,0.1875,16,0,1,28,0.13899825191387924,0,1,0.0,-1000000000.0,1
184,T0,F24_Rat_finite_termination,2,2,"0,2,-2","3,-2,-4",0,3,0.0,4,0,1,9,1000000000.0,0,0,0.0,-1000000000.0,1
185,T1,irr_482,0,2,1,"3,3,5",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
186,T1,irr_482,0,2,1,"2,3,4",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
187,T1,F24_Trans,2,2,"-2,-3,-1","0,-3,-4",-2,0,nan,1,0,1,-8,1.0,0,-1,0.3030337486693034,-1000000000.0,1
188,T0,F24_Rat_finite_termination,2,2,"4,0,-4","-2,-3,-4",4,-2,1.0,64,0,1,20,0.38196601125010515,0,1,0.0,-1000000000.0,1
189,T0,F24_Rat_finite_termination,2,2,"2,-2,0","-4,1,-2",2,-4,0.125,4,0,1,24,0.10102051443364377,0,1,0.0,-1000000000.0,1
190,T0,F24_Rat_finite_termination,2,2,"-3,-1,4","0,1,-2",-3,0,nan,49,0,1,-12,1.0,0,-1,0.0,-1000000000.0,1
191,T0,F24_Rat_finite_termination,2,2,"0,-3,3","0,4,1",0,0,nan,9,0,1,0,1.0,0,0,0.0,-1000000000.0,1
192,T0,F24_Rat_finite_termination,2,2,"-1,2,-1","-2,-3,-1",-1,-2,-0.25,0,0,1,0,1.0,0,0,0.0,-1000000000.0,1
193,T0,F24_Rat_finite_termination,2,2,"0,1,-1","1,-4,3",0,1,0.0,1,0,1,1,1000000000.0,0,0,0.0,-1000000000.0,1
194,T0,F24_Rat_finite_termination,2,2,"0,1,-4","-2,-1,2",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
195,T0,F24_Rat_finite_termination,2,2,"1,-1,0","4,1,4",1,4,0.0625,1,0,1,20,17.944271909999152,0,1,0.0,-1000000000.0,1
196,T0,F24_Rat_finite_termination,2,2,"-1,-1,2","-4,0,4",-1,-4,-0.0625,9,0,1,12,0.07179676972449085,0,1,0.0,-1000000000.0,1
197,T1,irr_482,0,2,1,"3,2,4",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
198,T0,F24_Rat_finite_termination,2,2,"2,2,-4","-2,4,-4",2,-2,0.5,36,0,1,12,0.2679491924311227,0,1,0.0,-1000000000.0,1
199,T1,irr_482,0,2,1,"4,5,7",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
200,T1,irr_482,0,2,1,"1,6,3",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
201,T1,irr_482,0,2,1,"5,3,5",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
202,T1,irr_482,0,2,1,"2,5,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
203,T1,irr_482,0,2,1,"1,-6,1",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
204,T1,irr_482,0,2,1,"2,-3,2",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
205,T1,irr_482,0,2,1,"4,4,1",1,4,0.0625,0,0,0,20,17.944271909999152,0,1,0.0,-1000000000.0,1
206,T1,irr_482,0,2,1,"3,4,5",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
207,T1,irr_482,0,2,1,"6,-5,4",1,6,0.027777777777777776,0,0,0,40,37.973665961010234,0,1,0.0,-1000000000.0,1
208,T0,F24_Rat_finite_termination,2,2,"0,-2,4","-1,4,4",0,-1,0.0,4,0,1,1,0.0,0,0,0.0,-1000000000.0,1
209,T0,F24_Rat_finite_termination,2,2,"1,-4,4","1,4,1",1,1,1.0,0,0,1,5,2.618033988749895,0,1,0.0,-1000000000.0,1
210,T0,F24_Rat_finite_termination,2,2,"3,-4,-4","-2,-2,-3",3,-2,0.75,64,0,1,16,0.3333333333333333,0,0,0.0,-1000000000.0,1
211,T0,F24_Rat_finite_termination,2,2,"0,-2,2","1,-4,-1",0,1,0.0,4,0,1,1,1000000000.0,0,0,0.0,-1000000000.0,1
212,T0,F24_Rat_finite_termination,2,2,"-3,2,1","4,-2,-2",-3,4,-0.1875,16,0,1,4,3.0,1,0,0.0,-1000000000.0,1
213,T1,irr_482,0,2,1,"1,1,6",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
214,T1,irr_482,0,2,1,"1,1,1",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
