family_id_str,family_id,degree,A_fit,A_stderr,delta,j_invariant,log_abs_j,sgn_j,is_j_zero,is_j_1728,CM_disc,log_abs_Delta,log_Mahler,bin
d4_8,8,4,7.996194108126356,8.010833424903555e-05,-0.003805891873644107,666.1466704130373,6.503009917413834,1,False,False,,8.177234885510194,1.3645018725366855,mixed_S_4
d4_9,9,4,7.996195083131644,8.006992198740582e-05,-0.0038049168683560453,-0.40969711338984055,0.34337486811572243,-1,False,False,,9.733351450605975,1.357668270645192,mixed_S_4
d4_10,10,4,7.996195563716138,8.004974856467936e-05,-0.003804436283862067,-18.333050415888643,2.961816088110304,-1,False,False,,10.760622583201524,1.405144156015146,mixed_S_4
d4_11,11,4,7.996196050096169,8.003038579739101e-05,-0.0038039499038307056,-55.328787429587905,4.031205726482634,-1,False,False,,11.419394701065979,1.5689459013795604,mixed_S_4
d4_12,12,4,7.996212854485318,7.954464395850365e-05,-0.0037871455146820665,166.4915318027851,5.12093279358582,1,False,False,,11.180789811764143,1.4595355640388776,mixed_S_4
d4_13,13,4,7.996213765981234,7.949734816807185e-05,-0.003786234018765988,69.87332175011846,4.26089408275689,1,False,False,,8.753213480544126,1.3510207246329557,mixed_S_4
d4_14,14,4,7.996214736716291,7.945834244670521e-05,-0.003785263283709206,-46.60920872405437,3.8630262031156652,-1,False,False,,9.158099260130491,1.3436443706717511,mixed_S_4
d4_15,15,4,7.9962152262292205,7.943941982869291e-05,-0.0037847737707794593,-107.42302088392424,4.686040436236175,-1,False,False,,10.40256442926757,1.3398167179264047,mixed_S_4
d4_16,16,4,7.996215710005579,7.941969455711781e-05,-0.0037842899944209307,-173.2737955346651,5.16062760005703,-1,False,False,,11.140861283245814,1.448212315802094,mixed_S_4
d4_17,17,4,7.996232455547922,7.892576280991663e-05,-0.003767544452077942,63.978059650325676,4.1740496690737485,1,False,False,,11.27414783587205,1.530656165129217,mixed_S_4
d4_18,18,4,7.996232936747829,7.890567830041099e-05,-0.0037670632521713543,24.343514031331004,3.2325228405480404,1,False,False,,10.477062597955229,1.4516278131054048,mixed_S_4
d4_19,19,4,7.9962343910638065,7.884692499753446e-05,-0.0037656089361934875,-504.10716563895386,6.224770615948223,-1,False,False,,8.455955881945048,1.3286469936850023,mixed_S_4
d4_20,20,4,7.996234877634203,7.8827592444006e-05,-0.003765122365797069,-412.1067908976886,6.023706133138792,-1,False,False,,10.013417611908324,1.3244747967165544,mixed_S_4
d4_21,21,4,7.9962353585582875,7.880746961742753e-05,-0.003764641441712513,-454.49763282482905,6.121390519814565,-1,False,False,,10.845972208492759,1.3286212488538087,mixed_S_4
d4_22,22,4,7.996252090186376,7.83116353979955e-05,-0.0037479098136241618,18.088321884200198,2.949076728383967,1,False,False,,11.321026187895164,1.5879814691675536,mixed_S_4
d4_23,23,4,7.996252598305983,7.829532068324879e-05,-0.003747401694017327,1.4171194259354178,0.8825765113138362,1,False,False,,10.571829614177101,1.5257991337279562,mixed_S_4
d4_24,24,4,7.996253087373415,7.827633941876457e-05,-0.0037469126265854413,-4.656505263157895,1.7328062568458793,-1,False,False,,9.382190628902842,1.4436354751788103,mixed_D_4
d4_25,25,4,7.996254049647455,7.823615626214857e-05,-0.003745950352545435,-12277.087033747779,9.415571410555556,-1,False,False,,6.333279628139691,1.3125119584739515,mixed_S_4
d4_26,26,4,7.996254531321262,7.821614000436808e-05,-0.0037454686787379288,-1423.4860402281597,7.261566354120314,-1,False,False,,9.49732219931357,1.307927797232449,mixed_S_4
d4_27,27,4,7.996255013555787,7.819620229626452e-05,-0.003744986444212728,-1110.0312267657991,7.013043896144548,-1,False,False,,10.499986158040269,1.3031953766537296,mixed_S_4
d4_28,28,4,7.9962717782166495,7.770503850834404e-05,-0.003728221783350527,2.2819412347309345,1.1884350871849079,1,False,False,,11.311824677031566,1.6342728122692856,mixed_S_4
d4_29,29,4,7.9962722694358055,7.768636084167336e-05,-0.003727730564194509,-0.17730350913195156,0.1632266617583648,-1,False,False,,10.570906584523343,1.5834296771073664,mixed_S_4
d4_30,30,4,7.996272728357462,7.766315889679282e-05,-0.003727271642538277,-75.7429648461471,4.340461719023592,-1,False,False,,9.341982481027898,1.5203903062559843,mixed_S_4
d4_31,31,4,7.996274185694759,7.760483973990832e-05,-0.003725814305241215,-7306.07917383821,8.896598907073724,-1,False,False,,8.444192298531748,1.2899407098936204,mixed_S_4
d4_32,32,4,7.996291416236777,7.709149500220138e-05,-0.003708583763223139,0.0,0.0,0,True,False,-3.0,11.236420693108572,1.6715065339839683,mixed_S_4
d4_33,33,4,7.996291914183773,7.707376190452802e-05,-0.003708085816226614,-12.735145094426532,2.6199578833375656,-1,False,False,,10.455531892118072,1.6285334327846177,mixed_S_4
d4_34,34,4,7.9962923936236985,7.70534356584419e-05,-0.00370760637630152,-459.6628133523834,6.1326663509770185,-1,False,False,,8.94884572927805,1.5775463879938028,mixed_S_4
d4_35,35,4,7.996293357358743,7.701346372752181e-05,-0.003706642641256863,2746.294693956737,7.918371958811222,1,False,False,,9.240772579096385,1.4267236132300332,+_real_D_4
d4_36,36,4,7.996294322952171,7.697375250186834e-05,-0.0037056770478294254,-10025.337110481587,9.212970620884917,-1,False,False,,9.162304922937626,1.3733244217533842,mixed_S_4
d4_37,37,4,7.996733368346319,6.893713933359481e-05,-0.003266631653681351,1273.4745819558239,7.150289280075376,1,False,False,,9.94611591459175,1.3289162709980502,mixed_S_4
d4_38,38,4,7.996733814244561,6.891215446734094e-05,-0.0032661857554385776,1727.9596977329975,7.455275175829778,1,False,False,,8.756525002926972,1.3250321536525627,mixed_S_4
d4_39,39,4,7.996735237324893,6.88491470654678e-05,-0.0032647626751067804,-0.005110290448148517,0.005097277229306232,-1,False,False,,10.821676481693363,1.487186481557975,mixed_S_4
d4_40,40,4,7.996735712393028,6.882824396470328e-05,-0.0032642876069717275,-6.3439812308247605,1.9938810975993408,-1,False,False,,11.392518991107131,1.6177302081413496,mixed_S_4
d4_41,41,4,7.99675244372417,6.833406161521858e-05,-0.0032475562758298437,606.9457352578571,6.4100856267624104,1,False,False,,10.872807071958002,1.3180478342540685,mixed_S_4
d4_42,42,4,7.9967529924527065,6.832346245957975e-05,-0.0032470075472934568,690.8927798544166,6.5394310012059425,1,False,False,,9.919951278566794,1.3139403937798766,mixed_S_4
