n,a_n_real
73,7110149625235908702735137348839944295034845975069208723859331842391452581.2467259536078482060992194650009448030271191463005982980112234940087247095076189769388142804551069101205964988635212682032868692755290872037460933843815668032964253948188728615375994946672981487107497635077455197585879951665985801691097511739820110270303336453714093343367198811
74,183653158860649838600605586232483674343013405939444584109588489528488216230.88223306435129056209035858242612207984750718516765113865113472690460743662903882081525261639201902013434504707795406515592269332430131543377927861100014598680924123148025887009734058901423861877421700766044110324159759275002650170895294390995528693208885257186823727206374323
75,4808590644374388980031413551118293549612697907726325245195177061944814970413.1582319399976567971298478160272701488031459215167690396955469976074547682985770714461847997280075970981967195184292255862161949046232398677656946364076383542873939602585699644679043317485189689949296362450405399182582809447601565351529092150491803281844694347637624731775642
76,127602151644679304081724176054681139187568773798718836311723305054868995589821.29630834132340685625290857243593674760739438739109001044716062045049739994471552889481611784194334011336458809602511112915498578175232942144540248418476626438331275206344986312884811794534860041463210398821047945391768787123562784639462469813530082210143683986600350903677
77,3431168929968763570443813213300255362565705214875546799481710280913242590683770.7832717295997358284296576901402979221378449803770499995580460515138574152894606608024339264537655623833172980897985340056655729192096420192982686394202148292558349909382685436203097600445602912248758034202640824654914102297877066134921779168652108363576417282421362154992
78,93474950550777833529832563259406416705817586086264433497731782829419966101283075.160935457801206431472228417090334400560927542341444040730736461370674723590184807734448401063513542854751832591039611768843526975958398348576598497096943084453246564371614128024618828066321725520305604632331098532841378637697426082055291263279059748620012040734034536614
79,2579553146430736982620683535948052175232825716297682868240366064209141342106382378.8046513035952605025326871758569192991481998703775585992482206901165291784453364197480790078828326555419048972983377030624351659262236030711495624169088077091464565052714116068385062141805359258940307101656567198127913248539249821943863374780525672494609485010374571416
80,72097251975850217542861469471276368918394364661643200177639474045268522297955332319.775182334404679108837744787627333434082417774478691836471079622395941476949860772513830025953929524169456572878736022343322518863049613644588150964303834147983941251753061383823046694936913674321154192232838961632097390310904336432243412791168948661331646893831562887
81,2040556497319798175714148976068404969318332846761257439742342444134971240108190572599.2552451353373984095733147676066283676436832228480603929207272617227853212995117752242681738850517326583915539943631177753816143600760665550801041402760516725638564053508754882707811090547874536568961487352974017898376899088149284892655484526135446595743861993342036
82,58474513379531186848389603905076553036507800650908953141842823259849010477030259919655.725321761641969267363464293098769808469860362165325443364468107641530734117258353029526273851291684016833213612846667856321827890428552091028853279820310885311499399450232165003078335597749772684049896389746325492162661881072972774860581658944473615134537943602383
83,1696315938041074683424458732666416424382771033483238664686162805493854339022282148888143.8044630540547252915062480994909515903019283779210901881451823158965227953257754538229714243485418265015659036588524076031349386009567285486086933165891804296259677006942647202889091707727643690255348536571598319029554316103453265086170061417438336712436212043595
84,49808635944084847755161492648777872563976629883287152174730631742159624481825886651171829.081765718987124850542785151729328468961600649467145820187052760292731461702535579446716871210974724947687934580958779427505725119333393967143093908547821647132944372694156498715373197952263095712152581087031875279361623306815880214819684091446274254704822379272
85,1480122005033770888916457356573195154607732733152713229367122726099517535730923185651258311.4383964883507021189158425659708181093322183682725340097084329916468824452183945510524676804013876506536747792808331472667895961113297411409711900026797574524572994548706761697593852079106177022435821492156498673775859127224318841301040721232865963547719471584
