k,a_k
211,1.7105459813757774991997311991015248951619340823906965822644265583172262023011315e+322
212,1.5629034116310374884709991726029673343865220466804761243306729232333055512748972e+324
213,1.4347716830932252068347717897083212546622350317917221089999242470336053779378496e+326
214,1.3233571388440163018783275773947755281670809114474026357706875559479636754465909e+328
215,1.2263244062708438725774194016288977217601325599174153527306567131294535678841641e+330
216,1.14171639271668753268208148155568416201957897829855971785598674705679674471751e+332
217,1.0678893762612640741644794325787751926932920494224210939243606039913977095981177e+334
218,1.0034602023965482124834611091319526703238179788444146911365304747656712722117646e+336
219,9.4726322229674928960102270960639795818168196461977158017983194733869438470316369e+337
220,8.9831509748111587432891928077941670372242125163315323824503061153283314364284078e+339
221,8.5578597971191247652582404929140617761358926045214442371616854955054581213361332e+341
222,8.1897587753835839633917107353400367034129120231399038853311327045996760542791259e+343
223,7.8729526010806656524127362933291093108631246942937291325322354961475364104515496e+345
224,7.6024913868812729501300082191353543198749425606991162477312358439909440389604275e+347
225,7.3742401757328449866586202252902472837758185466703619627824103011909386485916866e+349
226,7.1847722709729635353106941137478537237334012241982335764626137178861621675824588e+351
227,7.0312824884426305750124785621057179475441734286318080995095249541590166384024558e+353
228,6.9115172199926328105616097776153178683564015882513747249820495469430333111927028e+355
229,6.8237188411246859043194382197010661608158712323529481409676314879824436544771136e+357
230,6.7665825257195808570218247277540426143856444625497563513330255298321651080785778e+359
231,6.7392239734059530423904839265117770411899587008858318640442344654996436568826577e+361
232,6.7411569307526610972812473861928624496723058586986651934467360460426530999187435e+363
233,6.7722797130640223946281700474764247205776714409645250649887324998953525120719248e+365
234,6.8328702233109064695422956818062910556665102999871484901401508546770500624199018e+367
235,6.9235892308545270782116611835338130655551531032114135351757044591860726771923801e+369
236,7.0454919259893443894773179883024365592133728257307293437937216811109176927929137e+371
237,7.2000480170378516342308434214445238309233739887620219721456449680090810273940067e+373
238,7.3891708945770476898828695635912794566830583893760740022584520135312978543343598e+375
239,7.6152566623526232570792117142127119071768801362761386099085822353361434950480145e+377
240,7.8812341371889197452672800111363492407134262334965389680681004967579453699500104e+379
241,8.1906272625368240159389690112027325147275261817362738320342711111661302840877952e+381
242,8.5476317757415134674215925189420178466201772386437360946519836779287872091437798e+383
243,8.9572084335428707335788046241183067889593236446724045493625801405344512506317984e+385
244,9.4251956527584190766272663082138776448731798651055687963608757460544407927956621e+387
245,9.9584450866199175005896138554701452696757508698543693378512452918360871267622493e+389
246,1.0564984460134748419663789517635209696791705076013372797983393895530884054200813e+392
247,1.1254212965072218442971733554305335832013859955111792112360362749543714621592384e+394
248,1.2037135710149704231537547920079022024409304880566289730547487092647356740492121e+396
249,1.2926645188887931583205409937470459920337545495860146472219712029464489938658853e+398
250,1.3937859534258632267797636971721904695914323979430481227489072353880952199144078e+400
251,1.5088529560876340779083596828281572559897117119249984829800836209708615971759426e+402
252,1.6399529359419947314235789258385859191856525746935027718792742857615321938688819e+404
253,1.7895448639731572864053128739068363095147095102760538140761540516668543754526877e+406
254,1.9605309290150999637201283333053681316323293951714012016831257108210697213596677e+408
255,2.1563433948672140415311951014871810151280347326994996413710347672189603044086732e+410
256,2.3810501043039142014265024986379721244377092090965250837878060717341201039908914e+412
257,2.6394829104303773122272364243225138195118508879362212374660688594640118206020432e+414
258,2.9373943641525151076885722377855457886054708898776888140347721393150910320570605e+416
259,3.2816493059814091313405305888004696733725770780009800008045429529274833882661222e+418
260,3.6804596747845003354995437065736574029771650429760131367133086565141718398439702e+420
261,4.1436729502606591129395205496718435250571116737525718020592429325142654886954506e+422
262,4.683127311968793827612624427027595189747586512442548849327721223580473618220081e+424
263,5.3130899832637739020684260923028567041698722220897696537538408485312944575687385e+426
264,6.0507995372831656534079779161963041272255227105624043419245174416290319751818533e+428
265,6.9171384383098124293692458541744082928131604406137239777535096082690319080515018e+430
266,7.9374691184733040300504156887550358692913065849591680045745949855827005310592203e+432
267,9.1426758934173062246357810633669766507212439053181084960231947027077179567633746e+434
268,1.0570466583828208467581418571196182397909156967196556622492548414489243737223707e+437
269,1.2267002594280975851095551016535812533494770103013782107404502602479305833790562e+439
270,1.428894540477719962254945483155801919313595219474070519631920838045006924367061e+441
271,1.6706032264339232438853554532890469525259564567661906543545530156942877827702765e+443
272,1.96043260652169068390471299267197882062175276465342840526649517600758376031876e+445
273,2.3090326196338135789139600027949840626027188318527467058802517392330464362976617e+447
274,2.7296181634264331562813822300421743857333356963696483427074556765350654802214421e+449
275,3.2386318615842015062190971507157585310554583766074225044618025120099349051724316e+451
276,3.8565888243721531108293803469266550600440237274754806334630003165855272387488106e+453
