k,a_k
275,1.4384733665486869002532242263416085035406572827197112170352649072290635257455027e+385
276,9.8885026819277902446834737066339531585682121610703019780836106516194367480170752e+386
277,6.8223807071544123112981197380411743744389755687041823743313651851307179671642312e+388
278,4.7240269366811491343729595715720946502746494191292236489976706386399967519492126e+390
279,3.2828732599881570409428008102012500659141798806967008056735230988314035843825224e+392
280,2.2895787267800967061818026142044354886471041684417774584628506168823199106991922e+394
281,1.6025484818482076102889242221876863247574552053906593851693670824699620410157922e+396
282,1.1256810658683042727012127747412828330839772986604721256963999243594778134863936e+398
283,7.9352868481606601336002727416113537918390632608246752004007678264855119912913267e+399
284,5.6136782895285208972903432700444981436888313436124459593022987702747298711534363e+401
285,3.985332906639648933755293679919046448427497971380337440675793712528157895182348e+403
286,2.8392817916981030938532105035520291745048108671509394121944450994730028839928302e+405
287,2.0298962768217918961950958488195926072899385192506771355913843890082897813321446e+407
288,1.4563150636163768568400606579385656586138038517826042583322214819456712882182075e+409
289,1.0484499564967275932047387401531866733970930099267967786310669400195314215983804e+411
290,7.5743557828530435741783283288569599651714037908922691166279060031215422102342602e+412
291,5.4909074525128982986052239681113772020262103666881384195205228514816627245708349e+414
292,3.9942735819834059991305127587245232645969820938533556118498733223680654872056935e+416
293,2.9155575726335669631048321019521988538906195656559895730747901648067251314454389e+418
294,2.1354552209611049436920111029760333760313938419542655643697627554199793637940647e+420
295,1.5694203810977419920603096053016612855968863666462671287013136212033931138433928e+422
296,1.1573455663801867787682254634833750359764576859359515877829387824514584581969903e+424
297,8.5636077796044745694197133125164973055388347275091030928240650492769757531136142e+425
