family_id,alpha_3,alpha_2,alpha_1,alpha_0,Delta_3,Delta_3_sign,abs_Delta_3,log_abs_Delta_3,absD_mod_8,absD_mod_12,absD_parity,smallest_prime_div,omega_Delta_3,Galois_group,splitting_field,CM_field,CM_disc,r1,r2,bin,conductor,class_number,class_number_plus,regulator,fund_unit_norm,unit_density,A_fit,A_stderr,alpha_fit,alpha_stderr,delta
36,1,-2,-3,-1,-23,-1,23,3.1354942159291497,7,11,1,23,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-23})\ \text{imag.}",\mathbb{Q}(\sqrt{-23}),-23.0,1,1,-_S3_CM,,,,,,,5.979096738982095,0.001296310809727639,5.872677218526283,0.0073038038614989375,-0.02090326101790474
37,1,-2,-3,1,257,1,257,5.54907608489522,1,5,1,257,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{257})\ \text{real}",\mathbb{Q}(\sqrt{257}),257.0,3,0,+_S3_real,,,,,,,5.8836006776474035,0.04786585971694532,5.3494087076576795,0.27093983388124343,-0.11639932235259653
38,1,-2,-3,2,316,1,316,5.755742213586912,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{79})\ \text{real}",\mathbb{Q}(\sqrt{79}),79.0,3,0,+_S3_real,,,,,,,5.980561800015522,0.0011648896255714624,5.881398102739077,0.006563337497167438,-0.019438199984477933
39,1,-2,-3,3,321,1,321,5.771441123130016,1,9,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{321})\ \text{real}",\mathbb{Q}(\sqrt{321}),321.0,3,0,+_S3_real,,,,,,,5.981049519932071,0.0011212117564644933,5.884301366018512,0.006317243283764595,-0.018950480067928765
40,1,-2,-2,-2,-268,-1,268,5.5909869805108565,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-67})\ \text{imag.}",\mathbb{Q}(\sqrt{-67}),-67.0,1,1,-_S3_CM,,,,,,,5.983056367061467,0.0010600893494541288,5.896849676566227,0.005972861312252527,-0.01694363293853307
41,1,-2,-2,-1,-83,-1,83,4.418840607796598,3,11,1,83,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-83})\ \text{imag.}",\mathbb{Q}(\sqrt{-83}),-83.0,1,1,-_S3_CM,,,,,,,5.983541354030787,0.0010167189956673775,5.899736922208845,0.005728499732386658,-0.016458645969213315
42,1,-2,-2,2,148,1,148,4.997212273764115,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{37})\ \text{real}",\mathbb{Q}(\sqrt{37}),37.0,3,0,+_S3_real,,,,,,,5.9849944390752565,0.0008869973166040226,5.908387712637521,0.004997608889424295,-0.015005560924743477
43,1,-2,-1,-3,-439,-1,439,6.0844994130751715,7,7,1,439,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-439})\ \text{imag.}",\mathbb{Q}(\sqrt{-439}),-439.0,1,1,-_S3_CM,,,,,,,5.986973664625198,0.0008287577138746026,5.920772862359013,0.004669469501774914,-0.01302633537480169
44,1,-2,-1,-2,-236,-1,236,5.4638318050256105,4,8,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-59})\ \text{imag.}",\mathbb{Q}(\sqrt{-59}),-59.0,1,1,-_S3_CM,,,,,,,5.9874550185834226,0.0007858717943453954,5.9236388377633125,0.004427837369796343,-0.01254498141657745
45,1,-2,-1,-1,-87,-1,87,4.465908118654584,7,3,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-87})\ \text{imag.}",\mathbb{Q}(\sqrt{-87}),-87.0,1,1,-_S3_CM,,,,,,,5.987936064045695,0.0007430505588885446,5.9265030128813985,0.004186569687279976,-0.012063935954304661
46,1,-2,-1,1,49,1,49,3.8918202981106265,1,1,1,7,1,C_3,"\text{real cyclic cubic, totally real}",none (totally real),,3,0,+_C3_real,,,,,,,5.988897231030675,0.0006576141161666991,5.932225971257995,0.0037051951468673613,-0.011102768969324828
47,1,-2,-1,3,-31,-1,31,3.4339872044851463,7,7,1,31,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-31})\ \text{imag.}",\mathbb{Q}(\sqrt{-31}),-31.0,1,1,-_S3_CM,,,,,,,5.98985716866923,0.0005724813818223329,5.9379417554436,0.0032255317905346415,-0.010142831330769653
48,1,-2,0,-3,-339,-1,339,5.82600010738045,3,3,1,3,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-339})\ \text{imag.}",\mathbb{Q}(\sqrt{-339}),-339.0,1,1,-_S3_CM,,,,,,,5.991326987252432,0.0005598288526754215,5.947295184246117,0.0031542436468676486,-0.008673012747568265
49,1,-2,0,-2,-172,-1,172,5.147494476813453,4,4,0,2,2,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-43})\ \text{imag.}",\mathbb{Q}(\sqrt{-43}),-43.0,1,1,-_S3_CM,,,,,,,5.991804453895595,0.0005174719101613024,5.950138404738282,0.0029155919300306106,-0.008195546104404983
50,1,-2,0,-1,-59,-1,59,4.07753744390572,3,11,1,59,1,S_3,"K_b\;[\mathbb{Q}\!:\!K_b]=6,\ \text{quadratic resolvent }\mathbb{Q}(\sqrt{-59})\ \text{imag.}",\mathbb{Q}(\sqrt{-59}),-59.0,1,1,-_S3_CM,,,,,,,5.9922816167354735,0.0004751849131162117,5.952979852240804,0.002677334306942503,-0.007718383264526452
